COMPANY,PROMOTER & PROMOTER GROUP (A),PUBLIC (B)
Hatsun Agro Product Limited,73.17,26.83
Havells India Limited,59.38,40.57
Sri Havisha Hospitality and Infrastructure Limited,34.04,65.96
HBL Engineering Limited,59.11,40.89
HB Stockholdings Limited,53.22,46.78
Hindustan Construction Company Limited,16.72,83.28
Healthcare Global Enterprises Limited,62.46,37.54
HCL Infosystems Limited,62.89,37.11
HCL Technologies Limited,60.81,39.02
HDFC Asset Management Company Limited,52.44,47.56
HDFC Bank Limited,0.0,100.0
HDFC Life Insurance Company Limited,50.28,49.7
Heads UP Ventures Limited,13.56,86.44
HEC Infra Projects Limited,74.93,25.07
HEG Limited,55.78,44.22
HeidelbergCement India Limited,69.39,30.61
Hemisphere Properties India Limited,51.12,48.88
Heranba Industries Limited,74.94,25.06
Hercules Hoists Limited,69.61,30.39
Heritage Foods Limited,41.3,58.7
Hero MotoCorp Limited,34.74,65.26
Hester Biosciences Limited,53.73,46.27
Hexa Tradex Limited,92.13,7.87
Hexaware Technologies Limited,74.57,25.25
HFCL Limited,31.58,68.38
H.G. Infra Engineering Limited,71.78,28.22
HandsOn Global Management (HGM) Limited,50.42,49.58
Hinduja Global Solutions Limited,67.99,32.01
Hikal Limited,68.85,31.15
Hilton Metal Forging Limited,7.71,92.29
Himatsingka Seide Limited,37.48,62.52
Hindalco Industries Limited,34.64,64.91
Hindustan Composites Limited,74.98,25.02
Hindcon Chemicals Limited,68.71,31.29
Hindustan Copper Limited,66.14,33.86
Hindustan Motors Limited,32.34,67.66
Hindusthan National Glass & Industries Limited,70.73,29.27
Hindustan Oil Exploration Company Limited,0.0,100.0
Hindustan Petroleum Corporation Limited,54.9,45.1
Hindustan Unilever Limited,61.9,38.1
Hindware Home Innovation Limited,52.74,47.26
Hindustan Zinc Limited,61.84,38.16
Hind Rectifiers Limited,43.98,56.02
Hisar Metal Industries Limited,61.21,38.79
Hi-Tech Pipes Limited,43.97,55.88
Hitech Corporation Limited,74.43,25.57
The Hi-Tech Gears Limited,56.18,43.82
HLE Glascoat Limited,66.78,33.22
HLV LIMITED,39.07,60.93
HMA Agro Industries Limited,81.63,18.37
HMT Limited,93.69,6.31
Hindustan Media Ventures Limited,74.4,25.39
Hindustan Foods Limited,61.31,38.69
Home First Finance Company India Limited,12.43,87.57
Honasa Consumer Limited,34.99,65.01
Honeywell Automation India Limited,75.0,25.0
Honda India Power Products Limited,66.67,33.33
HP Adhesives Limited,71.35,28.65
Hindprakash Industries Limited,74.85,25.15
HPL Electric & Power Limited,72.66,27.34
Himadri Speciality Chemical Limited,51.61,48.39
HT Media Limited,69.5,29.88
Hubtown Limited,32.09,67.91
Housing & Urban Development Corporation Limited,75.0,25.0
Huhtamaki India Limited,67.73,32.27
Hybrid Financial Services Limited,64.02,35.98
Hyundai Motor India Limited,82.5,17.5
Indiabulls Limited,27.46,70.8
ICDS Limited,51.39,48.61
Ice Make Refrigeration Limited,74.4,25.6
ICICI Bank Limited,0.0,100.0
ICICI Lombard General Insurance Company Limited,51.46,48.54
ICICI Prudential Life Insurance Company Limited,72.96,27.04
Indo Count Industries Limited,58.74,41.26
ICRA Limited,51.87,47.82
IDBI Bank Limited,94.71,5.29
Vodafone Idea Limited,25.57,74.43
Ideaforge Technology Limited,29.1,70.9
IDFC First Bank Limited,0.0,100.0
Indiabulls Enterprises Limited,36.32,62.8
Indian Energy Exchange Limited,0.0,99.73
IFB Agro Industries Limited,65.0,35.0
IFB Industries Limited,74.96,25.04
IFCI Limited,72.57,27.43
IFGL Refractories Limited,72.43,27.57
Igarashi Motors India Limited,75.0,25.0
Indogulf Cropsciences Limited,96.87,3.13
International Gemmological Institute (India) Limited,76.55,23.45
Indraprastha Gas Limited,45.0,55.0
IG Petrochemicals Limited,68.74,31.26
IIFL Finance Limited,24.87,75.13
IIFL Capital Services Limited,31.02,68.98
Industrial Investment Trust Limited,52.47,47.53
IKIO Technologies Limited,72.5,27.5
Inventurus Knowledge Solutions Limited,63.72,33.71
IL&FS Engineering and Construction Company Limited,42.25,57.75
IL&FS Transportation Networks Limited,73.22,26.78
Imagicaaworld Entertainment Limited,74.02,25.98
Indian Metals & Ferro Alloys Limited,58.69,41.31
India Motor Parts and Accessories Limited,33.81,66.19
INCREDIBLE INDUSTRIES LIMITED,74.96,25.04
Indbank Merchant Banking Services Limited,64.84,35.16
Indegene Limited,0.0,100.0
The Indian Hotels Company Limited,38.12,61.88
The India Cements Limited,81.49,18.51
India Glycols Limited,61.01,38.99
Indiamart Intermesh Limited,49.17,50.8
Indian Bank,73.84,26.16
Indian Card Clothing Company Limited,67.33,32.67
Indian Hume Pipe Company Limited,72.34,27.66
India Shelter Finance Corporation Limited,47.9,52.1
InterGlobe Aviation Limited,43.54,56.46
Indigo Paints Limited,53.92,46.08
IMP Powers Limited,16.76,83.24
India Nippon Electricals Limited,70.37,29.63
Indo Amines Limited,58.42,41.58
Indo Borax & Chemicals Limited,50.8,49.2
Indoco Remedies Limited,58.9,41.01
Indo Farm Equipment Limited,69.44,30.56
Indo Rama Synthetics (India) Limited,74.84,25.16
IndoStar Capital Finance Limited,72.98,27.02
Indo Tech Transformers Limited,75.0,25.0
Indo Thai Securities Limited,60.86,39.14
Indo Us Biotech Limited,70.17,29.83
Indowind Energy Limited,47.16,52.84
Indraprastha Medical Corporation Limited,51.0,49.0
Ind-Swift Laboratories Limited,40.94,59.06
Ind-Swift Limited,55.58,44.42
Indian Terrain Fashions Limited,31.55,68.45
Indus Fila Limited,97.88,2.12
IndusInd Bank Limited,15.82,84.18
Indus Towers Limited,50.0,49.96
InfoBeans Technologies Limited,74.44,25.56
Infomedia Press Limited,50.69,49.31
Infosys Limited,14.61,85.15
Ingersoll Rand (India) Limited,75.0,25.0
Innova Captab Limited,50.9,49.1
Innovana Thinklabs Limited,73.23,26.77
Inox Green Energy Services Limited,55.97,44.03
INOX India Limited,75.0,25.0
Inox Wind Limited,44.18,55.82
Insecticides (India) Limited,72.3,27.7
Inspirisys Solutions Limited,69.95,30.05
Intellect Design Arena Limited,29.87,70.13
Intense Technologies Limited,20.67,78.29
Interarch Building Solutions Limited,59.9,40.1
International Conveyors Limited,69.98,30.02
Inventure Growth & Securities Limited,26.4,73.6
Indian Overseas Bank,94.61,5.39
Indian Oil Corporation Limited,51.5,48.5
IOL Chemicals and Pharmaceuticals Limited,52.62,47.38
ION Exchange (India) Limited,25.7,58.12
IPCA Laboratories Limited,44.72,55.28
India Pesticides Limited,63.62,36.38
IRB Infrastructure Developers Limited,30.42,69.58
Ircon International Limited,65.17,34.83
Indian Railway Catering And Tourism Corporation Limited,62.4,37.6
Indian Renewable Energy Development Agency Limited,71.76,28.24
Indian Railway Finance Corporation Limited,86.36,13.64
Iris Business Services Limited,34.68,65.32
Iris Clothings Limited,61.17,38.83
IRM Energy Limited,50.07,49.93
Intrasoft Technologies Limited,43.06,56.94
Isgec Heavy Engineering Limited,62.43,37.57
Ishan Dyes and Chemicals Limited,46.73,53.27
ITC Limited,0.0,100.0
ITC Hotels Limited,39.87,60.13
India Tourism Development Corporation Limited,87.03,12.97
ITI Limited,90.02,9.98
IL&FS Investment Managers Limited,50.42,49.58
IVP Limited,71.32,28.68
Le Travenues Technology Limited,0.0,100.0
IZMO Limited,34.95,65.05
The Jammu & Kashmir Bank Limited,59.4,40.6
Jagran Prakashan Limited,69.0,31.0
Jagsonpal Pharmaceuticals Limited,67.65,32.35
Jai Balaji Industries Limited,64.84,35.16
Jai Corp Limited,73.92,26.08
Nandani Creation Limited,41.31,58.69
Jamna Auto Industries Limited,49.94,50.06
Jash Engineering Limited,43.39,56.61
Jayant Agro Organics Limited,67.12,32.88
Jay Bharat Maruti Limited,59.35,40.65
Jayaswal Neco Industries Limited,55.15,44.85
Jayshree Tea & Industries Limited,50.68,49.32
JB Chemicals & Pharmaceuticals Limited,47.73,52.27
JBF Industries Limited,22.91,77.09
JBM Auto Limited,67.53,32.47
Jet Freight Logistics Limited,50.92,49.08
J.G.Chemicals Limited,70.99,29.01
JHS Svendgaard Laboratories Limited,34.56,65.44
Jindal Photo Limited,74.2,25.8
Jindal Poly Films Limited,74.55,25.45
Jindal Saw Limited,63.26,36.37
Jindal Steel & Power Limited,62.36,37.39
Jindal Drilling And Industries Limited,64.24,35.76
Jindal Worldwide Limited,59.79,40.21
Jio Financial Services Limited,47.12,52.88
Jain Irrigation Systems Limited,30.37,69.63
Jain Irrigation Systems Limited,26.68,73.26
JITF Infralogistics Limited,63.03,36.97
JK Cement Limited,45.66,54.34
J.Kumar Infraprojects Limited,46.65,53.35
JK Lakshmi Cement Limited,46.34,53.66
JK Paper Limited,49.63,50.37
JK Tyre & Industries Limited,50.55,49.45
Jupiter Life Line Hospitals Limited,40.91,59.09
Jullundur Motor Agency (Delhi) Limited,51.0,49.0
JM Financial Limited,56.51,43.49
JNK India Limited,67.6,32.4
Jocil Limited,55.02,44.98
Jaiprakash Associates Limited,30.23,69.77
Jindal Poly Investment and Finance Company Limited,74.63,25.37
Jaiprakash Power Ventures Limited,24.0,76.0
Jana Small Finance Bank Limited,21.88,78.12
Jindal Stainless Limited,61.1,38.89
JSW Energy Limited,69.27,30.59
JSW Holdings Limited,66.29,33.7
JSW INFRASTRUCTURE LIMITED,83.62,15.43
JSW Steel Limited,45.31,54.45
Jtekt India Limited,74.98,25.02
JTL INDUSTRIES LIMITED,48.91,51.09
Jubilant Agri and Consumer Products Limited,74.78,25.22
Jubilant Foodworks Limited,40.27,59.39
Jubilant Ingrevia Limited,45.22,54.06
Jubilant Pharmova Limited,47.68,51.77
Juniper Hotels Limited,77.53,22.47
Just Dial Limited,74.15,25.85
Jupiter Wagons Limited,68.11,31.89
Jyothy Labs Limited,62.89,37.11
Jyoti CNC Automation Limited,62.55,37.45
Jyoti Structures Limited,0.0,100.0
Kabra Extrusion Technik Limited,60.21,39.79
Kajaria Ceramics Limited,47.48,52.52
Kakatiya Cement Sugar & Industries Limited,54.25,45.75
Sai Silks (Kalamandir) Limited,60.97,35.11
Kalyani Commercials Limited,53.14,46.86
Kalyani Forge Limited,58.73,41.27
Kalyan Jewellers India Limited,62.82,37.18
Kamat Hotels (I) Limited,57.78,42.22
Kamdhenu Limited,49.12,50.88
Kamdhenu Ventures Limited,50.33,49.67
Kanani Industries Limited,33.79,66.21
Kanoria Chemicals & Industries Limited,74.4,25.6
Kanpur Plastipack Limited,67.26,32.74
Kansai Nerolac Paints Limited,74.98,25.02
Kapston Services Limited,72.87,27.13
Karma Energy Limited,74.7,25.3
Karur Vysya Bank Limited,2.1,97.9
Kaushalya Infrastructure Development Corporation Limited,51.42,48.58
Kavveri Defence & Wireless Technologies Limited,15.41,84.59
Kaya Limited,59.64,40.36
Kaynes Technology India Limited,53.52,46.48
KCP Limited,44.25,55.75
KCP Sugar and Industries Corporation Limited,40.59,59.41
KDDL Limited,50.43,49.57
KEC International Limited,50.1,49.9
Kirloskar Electric Company Limited,49.59,50.41
DSJ Keep Learning Limited,55.42,44.58
KEI Industries Limited,35.02,64.98
Kellton Tech Solutions Limited,40.78,59.22
Kernex Microsystems (India) Limited,28.97,71.03
Kesoram Industries Limited,43.34,56.66
Keynote Financial Services Limited,71.88,28.12
Kfin Technologies Limited,22.9,77.1
Khadim India Limited,59.85,40.15
Khaitan Chemicals & Fertilizers Limited,72.55,27.45
Khaitan (India) Limited,60.24,39.76
Khandwala Securities Limited,48.27,51.73
Kalyani Investment Company Limited,74.97,25.03
Kilitch Drugs (India) Limited,69.23,30.77
Krishna Institute of Medical Sciences Limited,34.11,65.89
Kingfa Science & Technology (India) Limited,74.99,25.01
KIOCL Limited,99.03,0.97
Kiri Industries Limited,31.72,68.28
Kirloskar Brothers Limited,65.95,34.05
Kirloskar Oil Engines Limited,41.13,58.87
Kirloskar Industries Limited,72.53,27.47
Kirloskar Pneumatic Company Limited,38.84,61.16
Kitex Garments Limited,56.66,43.34
Kewal Kiran Clothing Limited,74.27,25.73
Knowledge Marine & Engineering Works Limited,60.69,39.31
K.M.Sugar Mills Limited,56.51,43.49
KNR Constructions Limited,48.81,51.19
Kohinoor Foods Limited,37.67,62.33
Kokuyo Camlin Limited,74.99,25.01
Kolte - Patil Developers Limited,69.45,30.55
Kopran Limited,44.42,55.58
Kotak Mahindra Bank Limited,25.88,74.12
Kothari Sugars And Chemicals Limited,73.53,26.47
Kothari Petrochemicals Limited,70.98,29.02
Kothari Products Limited,74.99,25.01
K.P. Energy Limited,44.88,55.12
KPI Green Energy Limited,48.67,51.33
KALPATARU PROJECTS INTERNATIONAL LIMITED,33.52,66.48
KPIT Technologies Limited,39.45,59.75
K.P.R. Mill Limited,67.52,32.48
KRBL Limited,60.17,39.83
Krebs Biochemicals and Industries Limited,72.74,27.26
Kridhan Infra Limited,47.15,52.85
Krishana Phoschem Limited,71.86,28.14
Krishival Foods Limited,37.21,62.79
Kriti Industries (India) Limited,68.72,31.28
Kritika Wires Limited,63.32,36.68
Kriti Nutrients Limited,66.68,33.32
KRN Heat Exchanger and Refrigeration Limited,70.79,29.21
Kronox Lab Sciences Limited,74.21,25.79
Kross Limited,68.23,31.77
Krsnaa Diagnostics Limited,27.11,72.89
Krystal Integrated Services Limited,69.96,30.04
Ksb Limited,69.8,30.2
Kaveri Seed Company Limited,60.5,38.92
Kshitij Polyline Limited,0.0,100.0
Kalyani Steels Limited,64.7,35.3
K S Oils Limited,7.54,92.46
Ksolves India Limited,58.94,41.06
The Karnataka Bank Limited,0.0,100.0
Kuantum Papers Limited,70.3,29.7
Kundan Minerals and Metals Limited,95.0,5.0
Lagnam Spintex Limited,68.5,31.5
Lorenzini Apparels Limited,56.17,43.83
Dr. Lal Path Labs Ltd.,53.79,45.82
Lambodhara Textiles Limited,73.17,26.83
Lancor Holdings Limited,51.66,48.34
Landmark Cars Limited,51.56,48.44
Landsmill Green Limited,19.12,80.88
La Opala RG Limited,65.84,34.16
Lasa Supergenerics Limited,53.65,46.35
Latent View Analytics Limited,65.2,34.8
Latteys Industries Limited,70.42,29.58
Laurus Labs Limited,27.59,72.41
Laxmi Cotspin Limited,58.63,41.37
Laxmi Dental Limited,41.7,58.3
LCC Infotech Limited,0.0,100.0
Lemon Tree Hotels Limited,22.28,77.67
Lexus Granito (India) Limited,55.13,44.87
Lakshmi Finance & Industrial Corporation Limited,47.0,53.0
LG Balakrishnan & Bros Limited,34.8,65.2
Laxmi Goldorna House Limited,74.97,25.03
Libas Consumer Products Limited,30.7,69.3
Liberty Shoes Limited,58.32,41.68
LIC Housing Finance Limited,45.24,54.76
Life Insurance Corporation Of India,96.5,3.5
Likhitha Infrastructure Limited,70.25,29.75
Linc Limited,61.02,38.98
Lincoln Pharmaceuticals Limited,49.78,50.22
Linde India Limited,75.0,25.0
LLOYDS ENGINEERING WORKS LIMITED,49.36,50.63
Lloyds Enterprises Limited,73.91,26.09
Lloyds Metals And Energy Limited,63.44,36.54
LMW Limited,30.8,69.2
Lodha Developers Limited,71.9,28.1
Lokesh Machines Limited,53.16,46.84
Lords Chloro Alkali Limited,74.66,25.34
Lotus Eye Hospital and Institute Limited,40.39,59.61
Lovable Lingerie Limited,63.95,36.05
Loyal Textile Mills Limited,73.49,26.51
Landmark Property Development Company Limited,64.86,35.14
Larsen & Toubro Limited,0.0,100.0
L&T Finance Limited,66.16,33.84
LT Foods Limited,51.0,49.0
LTIMindtree Limited,68.56,31.44
L&T Technology Services Limited,73.59,26.41
Lumax Industries Limited,75.0,25.0
Lumax Auto Technologies Limited,55.98,44.02
Lupin Limited,46.9,53.1
Lux Industries Limited,74.19,25.81
Laxmi Organic Industries Limited,69.37,30.63
Lyka Labs Limited,58.16,41.84
Lypsa Gems & Jewellery Limited,36.37,63.63
Mahindra & Mahindra Limited,18.44,77.98
Mahindra & Mahindra Financial Services Limited,52.49,47.47
Maan Aluminium Limited,58.87,41.13
Macpower CNC Machines Limited,73.17,26.83
Madhav Marbles and Granites Limited,44.19,55.81
Madhucon Projects Limited,59.08,40.92
Madras Fertilizers Limited,85.27,14.73
Magadh Sugar & Energy Limited,61.02,38.98
Magnum Ventures Limited,56.87,43.13
Bank of Maharashtra,79.6,20.4
Maha Rashtra Apex Corporation Limited,62.54,37.46
Mahamaya Steel Industries Limited,72.8,27.2
Mahindra EPC Irrigation Limited,54.2,45.8
Maheshwari Logistics Limited,57.14,41.63
Mahindra Lifespace Developers Limited,52.43,47.57
Mahindra Logistics Limited,57.97,42.03
Maharashtra Scooters Limited,51.0,49.0
Maharashtra Seamless Limited,68.87,31.13
Maithan Alloys Limited,74.96,25.04
Mallcom (India) Limited,73.68,26.32
Malu Paper Mills Limited,69.8,30.2
Mamata Machinery Limited,62.45,37.55
Manaksia Aluminium Company Limited,72.86,27.14
Manaksia Coated Metals & Industries Limited,56.17,43.83
Manaksia Limited,74.93,25.07
Manaksia Steels Limited,74.75,25.25
Manali Petrochemicals Limited,44.86,55.14
Manappuram Finance Limited,35.25,64.75
Manba Finance Limited,74.98,25.02
Mangal Credit and Fincorp Limited,51.71,48.29
Mangalam Drugs And Organics Limited,50.3,49.7
Mangalore Chemicals & Fertilizers Limited,60.63,39.37
Mangalam Cement Limited,39.52,60.48
Man Industries (India) Limited,48.21,51.79
Man Infraconstruction Limited,65.1,34.9
Mankind Pharma Limited,72.68,27.32
Manomay Tex India Limited,57.26,42.74
Manorama Industries Limited,54.41,45.59
Mangalam Organics Limited,58.65,41.35
Manugraph India Limited,57.67,42.33
Vedant Fashions Limited,74.95,25.05
C.E. Info Systems Limited,51.65,48.35
Maral Overseas Limited,74.95,25.05
Marathon Nextgen Realty Limited,73.63,26.37
Marico Limited,59.03,40.85
Marine Electricals (India) Limited,68.45,31.55
Marksans Pharma Limited,43.87,56.13
Maruti Suzuki India Limited,58.28,41.72
MAS Financial Services Limited,66.63,33.37
Mask Investments Limited,72.25,27.75
Mastek Limited,35.95,64.05
Master Trust Limited,69.24,30.76
Matrimony.Com Limited,53.26,46.74
Mawana Sugars Limited,63.49,36.51
Max Estates Limited,45.24,54.76
Max Healthcare Institute Limited,23.74,76.26
Max India Limited,50.16,49.84
Mayur Uniquoters Ltd,58.59,41.41
Mazda Limited,48.58,51.42
Mazagon Dock Shipbuilders Limited,81.22,18.78
Madhya Bharat Agro Products Limited,74.56,25.44
Mcnally Bharat Engineering Company Limited,90.0,10.0
MBL Infrastructure Limited,74.01,25.99
McDowell Holdings Limited,2.27,97.73
Madhav Copper Limited,66.34,33.66
Mcleod Russel India Limited,6.25,93.75
Magellanic Cloud Limited,58.3,41.7
Global Health Limited,33.01,66.93
Medi Assist Healthcare Services Limited,20.55,79.45
Medicamen Biotech Limited,40.46,59.54
Medico Remedies Limited,62.59,37.41
Medplus Health Services Limited,40.32,59.63
Megastar Foods Limited,61.47,38.53
Melstar Information Technologies Limited,55.32,44.68
Menon Bearings Limited,68.44,31.56
MEP Infrastructure Developers Limited,26.76,73.24
Metro Brands Limited,71.87,28.13
Metropolis Healthcare Limited,48.89,51.11
Mahalaxmi Fabric Mills Limited,64.8,35.2
Max Financial Services Limited,1.74,98.26
Mangalam Global Enterprise Limited,71.16,28.84
Mahanagar Gas Limited,32.5,67.5
Mahalaxmi Rubtech Limited,64.8,35.2
Mahindra Holidays & Resorts India Limited,66.74,33.07
MIC Electronics Limited,62.06,37.94
Mishra Dhatu Nigam Limited,74.0,26.0
Minda Corporation Limited,64.84,33.59
Mindteck (India) Limited,64.2,35.8
MIRC Electronics Limited,53.36,46.64
Mirza International Limited,71.27,28.73
MITCON Consultancy & Engineering Services Limited,0.0,100.0
Mittal Life Style Limited,34.05,65.95
M K Proteins Limited,74.82,25.18
MM Forgings Limited,56.34,43.66
MMP Industries Limited,74.48,25.52
MMTC Limited,89.93,10.07
One Mobikwik Systems Limited,25.03,74.97
Modi Rubber Limited,62.69,37.31
MODISON LIMITED,52.11,47.89
Modern Threads (India) Limited,65.1,34.9
Mohit Industries Limited,54.94,45.06
MOIL Limited,64.68,35.32
Moksh Ornaments Limited,36.87,63.13
Meghmani Organics Limited,48.98,51.02
Mold-Tek Technologies Limited,48.59,51.41
Mold-Tek Packaging Limited,33.08,66.92
Monarch Networth Capital Limited,52.88,46.14
Monte Carlo Fashions Limited,73.17,26.83
Morepen Laboratories Limited,35.65,64.35
Moschip Technologies Limited,44.28,55.62
Samvardhana Motherson International Limited,48.6,51.4
Motilal Oswal Financial Services Limited,67.8,32.2
Motisons Jewellers Limited,66.0,34.0
The Motor & General Finance Limited,69.6,30.4
MphasiS Limited,40.1,59.89
MPS Limited,68.34,30.84
MRF Limited,27.78,72.22
Mangalore Refinery and Petrochemicals Limited,88.58,11.42
MSP Steel & Power Limited,35.24,64.76
Mstc Limited,64.75,35.25
Motherson Sumi Wiring India Limited,61.73,38.27
Mtar Technologies Limited,31.65,68.35
MT Educare Limited,59.12,40.88
Mahanagar Telephone Nigam Limited,56.25,43.75
Mufin Green Finance Limited,54.2,45.8
Credo Brands Marketing Limited,55.01,44.99
Mukand Limited,74.7,25.3
Mukka Proteins Limited,73.33,26.67
Mukta Arts Limited,70.71,29.29
Munjal Auto Industries Limited,74.81,25.19
Munjal Showa Limited,65.02,34.98
Murudeshwar Ceramics Limited,73.94,26.06
Muthoot Capital Services Limited,62.62,37.38
Muthoot Finance Limited,73.35,26.65
Muthoot Microfin Limited,55.47,42.84
Manoj Vaibhav Gems N Jewellers Limited,74.27,25.73
Mangalam Worldwide Limited,66.5,33.5
NACL Industries Limited,63.08,36.92
Nagarjuna Fertilizers and Chemicals Limited,52.01,47.99
Nagreeka Capital & Infrastructure Limited,53.53,46.47
Nagreeka Exports Limited,57.32,42.68
Nahar Capital and Financial Services Limited,71.94,28.06
Nahar Industrial Enterprises Limited,71.24,28.76
Nahar Poly Films Limited,72.24,27.76
Nahar Spinning Mills Limited,67.43,32.57
Nippon Life India Asset Management Limited,72.25,27.75
Narmada Agrobase Limited,50.3,49.7
Natural Capsules Limited,51.26,48.74
Natco Pharma Limited,49.56,50.44
Nath Bio-Genes (India) Limited,45.6,54.4
National Aluminium Company Limited,51.28,48.72
Info Edge (India) Limited,37.63,62.28
NAVA LIMITED,50.13,49.87
Navin Fluorine International Limited,28.01,71.99
Navkar Corporation Limited,70.37,29.63
Navkar Urbanstructure Limited,35.0,65.0
Navneet Education Limited,63.35,36.65
Nazara Technologies Limited,8.31,91.69
NBCC (India) Limited,61.75,38.25
N. B. I. Industrial Finance Company Limited,74.17,25.83
NCC Limited,22.11,77.89
NCL Industries Limited,41.01,58.99
Naga Dhunseri Group Limited,73.58,26.42
Nandan Denim Limited,51.01,48.99
NDL Ventures Limited,66.2,33.8
Ndr Auto Components Limited,73.13,26.87
New Delhi Television Limited,64.71,35.29
North Eastern Carrying Corporation Limited,54.19,45.81
Nectar Lifesciences Limited,44.53,55.47
Nelcast Limited,74.87,25.13
NELCO Limited,50.09,49.91
Neogen Chemicals Limited,51.23,48.77
Nesco Limited,68.54,31.46
Nestle India Limited,62.76,37.24
Netweb Technologies India Limited,71.03,28.97
Network18 Media & Investments Limited,56.89,43.11
Neueon Corporation Limited,36.31,63.69
Neuland Laboratories Limited,32.68,67.32
Newgen Software Technologies Limited,53.78,45.37
Next Mediaworks Limited,74.99,25.01
National Fertilizers Limited,74.71,25.29
Nakoda Group of Industries Limited,56.4,43.6
NGL Fine-Chem Limited,72.74,27.26
Narayana Hrudayalaya Ltd.,63.85,35.53
NHPC Limited,67.4,32.6
The New India Assurance Company Limited,85.44,14.56
NIBE Limited,53.74,46.26
NRB Industrial Bearings Limited,72.49,27.51
NIIT Limited,37.16,62.84
NIIT Learning Systems Limited,34.36,65.64
Nila Infrastructures Limited,61.9,38.1
Nila Spaces Limited,61.9,38.1
Nilkamal Limited,64.54,35.46
NINtec Systems Limited,47.38,52.62
Indo-National Limited,65.35,34.65
Niraj Cement Structurals Limited,24.89,75.11
Niraj Ispat Industries Limited,74.42,25.58
Nitco Limited,16.23,83.77
Nitin Fire Protection Industries Limited,51.68,48.32
Nitin Spinners Limited,56.62,43.38
Nitiraj Engineers Limited,69.07,30.93
Niva Bupa Health Insurance Company Limited,55.43,44.57
NK Industries Limited,73.27,26.73
NLC India Limited,72.2,27.8
NMDC Limited,60.79,39.21
NOCIL Limited,33.76,66.24
Noida Toll Bridge Company Limited,26.37,73.63
Norben Tea & Exports Limited,45.33,54.67
Northern Arc Capital Limited,0.0,100.0
Nova Agritech Limited,59.39,37.91
Network People Services Technologies Limited,67.56,32.44
N R Agarwal Industries Limited,73.96,26.04
NRB Bearing Limited,51.2,48.8
Nupur Recyclers Limited,72.79,27.21
Nalwa Sons Investments Limited,55.62,44.38
NMDC Steel Limited,60.79,39.21
NTPC Limited,51.1,48.9
NTPC Green Energy Limited,89.01,10.99
Nucleus Software Exports Limited,73.6,26.4
Nureca Limited,64.33,35.67
Nuvama Wealth Management Limited,54.73,45.27
Nuvoco Vistas Corporation Limited,72.02,27.98
FSN E-Commerce Ventures Limited,52.14,47.86
Oriental Aromatics Limited,74.17,25.83
Orissa Bengal Carrier Limited,68.68,31.32
Oberoi Realty Limited,67.7,32.3
OCCL Limited,51.76,48.24
Odigma Consultancy Solutions Limited,27.43,72.57
Oracle Financial Services Software Limited,72.56,27.44
Oil India Limited,56.66,43.34
Oil Country Tubular Limited,56.74,43.26
Ola Electric Mobility Limited,36.78,58.04
Olectra Greentech Limited,50.02,49.98
Omax Autos Limited,52.85,47.15
Omaxe Limited,74.14,25.86
OM INFRA LIMITED,67.05,32.95
Onelife Capital Advisors Limited,52.1,47.9
One Point One Solutions Limited,52.3,47.7
Onesource Specialty Pharma Limited,29.79,70.21
Oil & Natural Gas Corporation Limited,58.89,41.11
OnMobile Global Limited,47.9,52.1
Onward Technologies Limited,39.02,60.91
Optiemus Infracom Limited,73.69,26.31
Orbit Exports Limited,66.05,33.95
Orchasp Limited,11.62,88.38
Orchid Pharma Limited,69.84,30.16
Oricon Enterprises Limited,65.7,34.3
Oriental Trimex Limited,27.24,72.76
Orient Bell Limited,65.42,34.58
Orient Cement Limited,72.66,27.34
ORIENT CERATECH LIMITED,63.58,36.42
Orient Electric Limited,38.31,61.69
Oriental Hotels Limited,67.55,32.45
Orient Press Limited,73.0,27.0
Orient Paper & Industries Limited,38.74,61.26
Orient Technologies Limited,73.24,26.76
The Orissa Minerals Development Company Limited,50.01,49.99
ORTIN GLOBAL LIMITED,1.23,98.77
Osia Hyper Retail Limited,47.53,52.47
Oswal Agro Mills Limited,46.89,53.11
Oswal Greentech Limited,69.19,30.81
Oswal Pumps Limited,75.67,24.33
ShreeOswal Seeds And Chemicals Limited,66.63,33.37
Page Industries Limited,42.89,57.11
Paisalo Digital Limited,48.21,51.79
PAKKA LIMITED,41.65,58.35
Palash Securities Limited,72.18,27.82
Palred Technologies Limited,30.06,69.94
Panacea Biotec Limited,72.48,27.52
Panache Digilife Limited,51.68,48.32
Panama Petrochem Limited,62.22,37.78
Pansari Developers Limited,73.88,26.12
Par Drugs And Chemicals Limited,73.37,26.63
Paramount Communications Limited,49.06,50.94
Paradeep Phosphates Limited,56.04,43.96
Parag Milk Foods Limited,42.61,57.25
Paras Defence and Space Technologies Limited,53.74,46.26
Paras Petrofils Limited,40.34,59.66
Apeejay Surrendra Park Hotels Limited,68.14,31.86
Parsvnath Developers Limited,50.09,49.91
Pashupati Cotspin Limited,65.99,34.01
Pasupati Acrylon Limited,65.87,34.13
Patanjali Foods Limited,68.83,31.17
Patel Engineering Limited,36.11,59.5
Patel Integrated Logistics Limited,35.91,64.09
Pavna Industries Limited,61.5,38.5
One 97 Communications Limited,0.0,100.0
PCBL Chemical Limited,51.41,48.59
PC Jeweller Limited,40.08,59.92
Pudumjee Paper Products Limited,71.55,28.45
