COMPANY,PROMOTER & PROMOTER GROUP (A),PUBLIC (B)
Apollo Hospitals Enterprise Limited,28.02,71.98
Apollo Pipes Limited,46.84,52.86
Apollo Tyres Limited,36.93,62.79
Apollo Sindoori Hotels Limited,64.68,35.32
Aptech Limited,47.35,52.65
Aptus Value Housing Finance India Limited,23.87,76.13
Aqylon Nexus Limited,59.12,40.88
Archidply Industries Limited,69.89,30.11
Archies Limited,61.47,38.53
Arcotech Limited,39.96,60.04
Amara Raja Energy & Mobility Limited,32.86,67.14
Rajdarshan Industries Limited,63.66,36.34
Arfin India Limited,69.77,30.23
Aries Agro Limited,52.66,47.34
Arihant Capital Markets Limited,67.67,32.32
Arihant Superstructures Limited,71.1,28.9
Arisinfra Solutions Limited,37.73,62.27
Arkade Developers Limited,71.14,28.86
Arman Financial Services Limited,22.0,78.0
Aro Granite Industries Limited,41.08,58.92
Arrow Greentech Limited,64.81,35.19
Arshiya Limited,14.37,85.63
Anand Rathi Share and Stock Brokers Limited,69.92,30.08
ARSS Infrastructure Projects Limited,84.89,15.11
Artemis Medicare Services Limited,58.39,41.61
Art Nirman Limited,73.75,26.25
Arvee Laboratories (India) Limited,73.5,26.5
Arvind Limited,39.53,60.47
Arvind Fashions Limited,35.1,64.9
Arvind SmartSpaces Limited,49.82,50.18
Asahi India Glass Limited,51.57,48.43
Asahi Songwon Colors Limited,67.0,33.0
Automotive Stampings and Assemblies Limited,75.0,25.0
Associated Alcohols & Breweries Ltd.,61.22,38.78
Ashapura Minechem Limited,47.88,52.12
Ashiana Housing Limited,61.11,38.89
Ashima Limited,73.49,26.51
Ashoka Buildcon Limited,54.48,45.52
Ashoka Metcast Limited,53.65,46.35
Ashok Leyland Limited,51.51,48.49
Asian Energy Services Limited,60.97,38.97
Asian Hotels (North) Limited,0.0,100.0
Asian Paints Limited,52.63,47.31
Asian Granito India Limited,33.72,66.28
Amit Spinning Industries Limited,50.96,49.04
ASK Automotive Limited,74.95,25.05
Bartronics India Limited,69.37,30.63
Aspinwall and Company Limited,64.46,35.54
Astec LifeSciences Limited,71.97,28.03
Aster DM Healthcare Limited,40.39,59.38
Astral Limited,54.22,45.78
Astra Microwave Products Limited,6.54,93.46
AstraZeneca Pharma India Limited,75.0,25.0
Astron Paper & Board Mill Limited,25.37,74.63
Atal Realtech Limited,30.15,69.85
Atam Valves Limited,52.44,47.56
Atcom Technologies Limited,14.1,85.9
Adani Total Gas Limited,74.8,25.2
Ather Energy Limited,40.86,59.14
Allcargo Terminals Limited,67.17,32.83
ATLANTAA LIMITED,74.67,25.33
Atlanta Electricals Limited,87.27,12.73
Atlas Cycles (Haryana) Limited,41.92,58.08
ATN International Limited,0.17,99.83
Atul Limited,45.22,54.78
Atul Auto Limited,42.7,57.3
